trackName,artistName,msPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,plays
Trippy (feat. J. Cole),Anderson .Paak,3600900,2lRe5wBRm4xaSKTbDn2vLD,0.57,0.65,2,-8.538,1,0.326,0.0707,0.0,0.339,0.174,96.767,323587,4,11.128073748327344
Hold Me Down,Daniel Caesar,3566412,1Mza2sr6tPhy6jjI3HB9fW,0.463,0.427,8,-9.799,0,0.0549,0.628,0.000565,0.0911,0.231,116.059,231268,4,15.42112181538302
High Beams,Flume,3523064,5JivFvyCCaznVexlRLpZqK,0.509,0.91,0,-4.514,1,0.383,0.0361,0.0,0.762,0.515,129.906,203882,4,17.27991681462807
Only Child,Tierra Whack,3518178,4zMmqb0pYwX6b0qc0slCoT,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,0.186,0.802,85.244,239324,4,14.70048135581889
Sober,Childish Gambino,3517510,5NhlpQ6BOIz3S5welptk1W,0.707,0.562,0,-7.621,1,0.0305,0.124,1.58e-05,0.561,0.418,98.094,252026,4,13.956933014847674
"Jesus Forgive Me, I Am A Thot",JPEGMAFIA,3431767,4odoLyHnSx2jIcXs16IvsV,0.628,0.78,11,-5.217,1,0.451,0.243,0.0,0.318,0.602,122.308,156534,4,21.92346071779933
Love Galore (feat. Travis Scott),SZA,3367789,0q75NwOoFiARAVp4EXU4Bs,0.795,0.594,0,-6.2,1,0.0747,0.111,0.0,0.162,0.409,135.002,275080,4,12.242943870873928
Without Me - ILLENIUM Remix,Halsey,3359512,4bw3ZyWA1ui0Adu285NWDl,0.639,0.71,6,-3.358,1,0.0479,0.483,2.22e-06,0.219,0.373,136.004,248906,4,13.497111359308333
Take Me Away (feat. Syd),Daniel Caesar,3349370,3E895HtTn6lB40SA0l9EkL,0.395,0.409,6,-8.58,1,0.056,0.708,1.62e-05,0.0982,0.193,74.088,226116,4,14.81261830211042
I. The Worst Guys,Childish Gambino,3308949,17wxjHNmOSstc6nVIe401T,0.593,0.639,5,-7.558,0,0.114,0.0572,0.0,0.0622,0.347,97.088,219740,4,15.058473650678074
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,3269781,3xby7fOyqmeON8jsnom0AT,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,321560,4,10.16849421569847
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,3234720,6MF4tRr5lU8qok8IKaFOBE,0.691,0.64,0,-6.441,1,0.369,0.511,0.0,0.409,0.163,138.672,202040,4,16.010294991090873
BUSY / SIRENS,Saba,3214658,4YdRnTnXYwgI48kkzWy6uk,0.667,0.465,1,-10.337,1,0.342,0.471,0.0,0.101,0.474,133.859,329542,4,9.754926534402292
Joke Ting (feat. Ari PenSmith),GoldLink,3172921,6Ic2MP2hzoBLe3r1VIle8J,0.83,0.594,5,-5.4,0,0.0432,0.188,4.85e-06,0.0881,0.718,140.006,180053,4,17.622150144679622
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,3166257,6TaqooOXAEcijL6G1AWS2K,0.689,0.521,0,-5.845,1,0.132,0.119,8.41e-05,0.108,0.178,95.055,229747,4,13.78149442647782
Maria I'm Drunk (feat. Justin Bieber & Young Thug),Travis Scott,3131346,6Yqmv7XJLCrQEauMbPGZSw,0.648,0.631,4,-5.662,0,0.103,0.377,0.0,0.12,0.142,105.989,349933,4,8.948415839603582
Love Incredible (feat. Camila Cabello),Cashmere Cat,3053912,6tLJ4T7PJPekOrQuSWuL0L,0.366,0.5,10,-8.818,0,0.119,0.0574,0.0,0.2,0.205,166.834,179609,4,17.003112316197964
CAROLMART FEAT. ICE BILLION BERG,Denzel Curry,3014337,5OO7ybh0GQlXslHX4U4Vgr,0.736,0.671,1,-7.764,1,0.0505,0.00535,0.0,0.108,0.505,155.131,164120,4,18.366664635632464
Self Care,Mac Miller,3013937,5bJ1DrEM4hNCafcDd1oxHx,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,4,8.73268276287692
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,3013322,5WnfnSpuNEGXyEt78PBA6d,0.642,0.647,7,-6.312,0,0.428,0.517,0.0,0.0649,0.664,120.749,217867,4,13.831016170415896
Wild Irish Roses,Smino,2985088,6efkcs2aUBMFKxl0cl2JWQ,0.639,0.295,0,-11.237,0,0.544,0.554,3.09e-05,0.3,0.634,86.947,169320,4,17.629860618946374
IV. Sweatpants,Childish Gambino,2976820,00GOPLxW4PGQuUYdPJh8K1,0.71,0.47,1,-9.33,0,0.142,0.154,0.0,0.643,0.581,80.027,180675,4,16.476103500761035
Shoota (feat. Lil Uzi Vert),Playboi Carti,2894755,2BJSMvOGABRxokHKB0OI8i,0.674,0.649,1,-8.433,0,0.199,0.191,0.0,0.122,0.48,153.069,153800,4,18.821553966189857
Long Time - Intro,Playboi Carti,2848375,4IO2X2YoXoUMv0M2rwomLC,0.472,0.86,4,-3.967,0,0.0451,0.284,0.0,0.83,0.366,144.073,211773,4,13.450132925349314
3500 (feat. Future & 2 Chainz),Travis Scott,2822515,1SGt65i9AnXYdDQt1AtDRH,0.773,0.595,8,-6.062,0,0.161,0.114,2.47e-06,0.13,0.338,123.968,461840,4,6.111456348518968
STARGAZING,Travis Scott,2805377,7wBJfHzpfI3032CSD7CE2m,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,270715,4,10.36284284210332
CYANIDE,Daniel Caesar,2780650,3uouaAVXpQR3X8RYkJyitQ,0.589,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49,194960,4,14.262669265490358
"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,2765420,1JkrD47SDpAbyvqKtolcea,0.911,0.721,10,-4.833,0,0.28,0.0364,0.0,0.111,0.69,104.11,297546,4,9.294092342024426
Sad Machine,Porter Robinson,2762556,1JY6B9ILvmRla2IKKRZvnH,0.47,0.706,0,-4.902,0,0.0322,0.034,1.31e-06,0.0726,0.327,88.52,350690,4,7.877487239442242
IF YOU PRAY RIGHT,BROCKHAMPTON,2714545,56IGGA6VwAbIni6KoN7VC5,0.471,0.496,7,-9.983,1,0.199,0.399,0.00083,0.378,0.569,160.093,302360,4,8.97785752083609
Ecdysis,Flume,2690958,1EFPehJv13my9zvLFzGE8Z,0.541,0.739,8,-6.198,0,0.0843,0.00123,0.0283,0.448,0.212,118.903,104889,4,25.655292738037353
Rush Over Me,Seven Lions,2655440,6BDLcvvtyJD2vnXRDi1IjQ,0.441,0.753,0,-4.074,1,0.044,0.0701,0.0,0.027,0.254,135.015,259556,4,10.230701659757433
Get to You Again,Mac Ayres,2609035,5pNiAcguRrBdYf5V0QXdir,0.499,0.429,3,-10.288,1,0.0495,0.199,0.000311,0.334,0.277,117.751,267450,4,9.755225275752476
Little Prince (feat. NIKI),Rich Brian,2608736,3jKJnHixssQxdCShjpirKQ,0.909,0.414,0,-7.337,1,0.0514,0.166,2.49e-05,0.109,0.761,139.963,172445,4,15.127930644553336
Whip A Tesla,Yung Gravy,2566142,6nsyYPCDUSacgXci9mvWln,0.814,0.527,9,-7.001,0,0.328,0.179,0.000512,0.0767,0.54,170.063,153733,4,16.692200113183247
Something to Feel,Mac Ayres,2564493,1IRELSd0k5ycjtvPUlUEXI,0.754,0.525,3,-10.004,1,0.0897,0.874,1.95e-05,0.117,0.57,72.276,213535,4,12.009708010396421
Slow Down Turbo,Rich Brian,2564150,5cdmj1cvGZovYsd8nSjtsF,0.389,0.518,7,-7.679,0,0.12,0.215,0.0688,0.182,0.0392,78.114,239715,4,10.696660617816992
Japanese Denim,Daniel Caesar,2557092,1boXOL0ua7N2iCOUVI1p9F,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,270847,3,9.441094049407969
Unravel Me,Sabrina Claudio,2481538,5TVlcZRCVoJVi9OaDvGxEB,0.387,0.419,4,-8.803,0,0.183,0.476,0.00179,0.122,0.337,79.211,245158,3,10.12219874529895
VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],Denzel Curry,2476507,4d8BSdhx6WT5GtTOWpv4rh,0.729,0.799,11,-6.136,0,0.111,0.0573,4.18e-06,0.289,0.439,144.025,240213,4,10.309629370600259
Tity and Dolla (feat. Hugh Augustine & Jay Rock),Isaiah Rashad,2475152,2NoKRHt8LVpnQMVl3TPwvu,0.717,0.602,0,-9.441,0,0.323,0.324,1.1e-05,0.0923,0.539,124.003,298035,4,8.304903786468032
Cokewhite (feat. Pusha T),GoldLink,2443902,1jCzgZFEl8RCUxDRvAGWUF,0.771,0.592,4,-7.016,0,0.306,0.0202,5.95e-06,0.23,0.509,159.949,205267,4,11.905966375501176
Divinity,Porter Robinson,2439482,18cCBvygH6yEFDY0cYN3wT,0.496,0.55,2,-5.418,1,0.034,0.00755,0.0122,0.0814,0.144,90.036,368373,4,6.622314881926743
Best Part (feat. H.E.R.),Daniel Caesar,2419873,1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,209831,4,11.532485667036806
Broken Clocks,SZA,2414557,2fXwCWkh6YG5zU1IyvQrbs,0.684,0.683,6,-7.366,1,0.177,0.13,0.0,0.156,0.406,112.856,231253,4,10.441192114264464
FRONTAL LOBE MUZIK,Daniel Caesar,2400701,0b6l1obmzq1YrqiKBVLtIo,0.681,0.568,11,-6.264,0,0.136,0.439,0.000173,0.446,0.301,140.004,229402,4,10.465039537580317
OMG (with Carly Rae Jepsen),Gryffin,2365049,2j9YmQRxtjuVwb4XN95oT8,0.552,0.623,6,-5.766,1,0.0532,0.0122,0.0123,0.106,0.616,177.973,215737,4,10.962648966102245
Why You Always Hatin?,YG,2335221,39hnH8WdPmNT3Q3yzwC9Rg,0.926,0.336,0,-9.326,0,0.594,0.0392,0.0,0.138,0.38,92.995,196600,4,11.878031536113937
Superlove (feat. Oh Wonder),Whethan,2311647,0lchLc0vSyRRqKSPIkFtJI,0.578,0.491,11,-8.544,0,0.21,0.203,0.000378,0.182,0.64,98.273,184814,4,12.507964764574112
Crashing (feat. Bahari),ILLENIUM,2266880,17Efhyf4A96n0EFXKeB7Ya,0.582,0.681,5,-6.138,1,0.0458,0.342,0.0,0.186,0.273,95.995,230000,4,9.856
Death by Dishonor,Ghostemane,2262250,5VphpldmtVyZH6S8RpHWLT,0.81,0.735,8,-4.522,1,0.171,0.00454,0.0828,0.115,0.134,119.994,192000,4,11.782552083333334
Innocence (feat. Aquilo),Madeon,2261706,4B59CsEpwMFAOQXu7snoJF,0.352,0.663,0,-6.91,0,0.0417,0.034,0.00015,0.214,0.151,87.949,224307,4,10.083082560954406
Is It Cold In The Water? - Flume & Eprom Remix,SOPHIE,2260124,5z4TlJ5NN7OQfEBq0InOvM,0.202,0.694,1,-6.974,0,0.0412,0.000657,0.000289,0.483,0.152,158.865,287331,5,7.865924665281504
through the late night,Travis Scott,2244125,1Ci4wASMY4xtKVMeHA6Sd5,0.744,0.589,5,-1.218,0,0.0359,0.36,0.0,0.119,0.242,127.051,286236,4,7.840121438253749
SWITCH IT UP | ZWITCH 1T UP,Denzel Curry,2225721,7oopoWQa0jicMSf9SFtxMK,0.567,0.723,9,-5.33,0,0.29,0.0121,0.0,0.264,0.272,128.463,175907,4,12.652827914750407
Calvin Cambridge,SOB X RBE,2219283,4HK9Ive4wK7426QXxQZS6L,0.776,0.678,2,-4.505,1,0.376,0.00476,0.0,0.363,0.81,181.872,148376,4,14.957156143850758
Self Love (with Ari Lennox & Bas feat. Baby Rose),Dreamville,2196897,7dnSXaCjLdFiWZa8s5wP1n,0.761,0.697,5,-6.164,1,0.0568,0.186,0.0,0.126,0.197,106.051,223013,4,9.850981781331134
"thank u, next",Ariana Grande,2185914,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4,10.543671618753617
Clarity,Zedd,2184054,60wwxj6Dd9NJlirf84wr2c,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4,8.046561322197128
How To Build A Relationship,Flume,2161170,1Ttu4TYbFIXYDFzOgfVedO,0.765,0.814,6,-3.399,0,0.434,0.0979,0.0,0.339,0.628,103.023,184817,4,11.693567150208043
Plz Don't Go (feat. Jhené Aiko),Cashmere Cat,2150899,5bHb0PhaG1d4V7EnSHqB6n,0.339,0.556,11,-6.111,0,0.0536,0.201,0.00477,0.628,0.203,139.622,236761,4,9.084684555311052
Headlow (feat. Norelle),Anderson .Paak,2129975,0L38hbPRV0C4x6CH7WZe1W,0.751,0.724,1,-8.053,0,0.0734,0.00353,0.000141,0.208,0.509,100.044,250773,4,8.493637672317195
Boca Raton (with A$AP Ferg),Bas,2112821,72ic9IhRix05fIkRzGGMXD,0.908,0.638,10,-6.663,0,0.221,0.137,1.41e-05,0.22,0.388,130.007,197307,4,10.708292153851612
The Sailor,Rich Brian,2108044,4dV4G96hqT5qCU9v7JBCk2,0.455,0.566,11,-8.763,0,0.142,0.11,5.24e-05,0.696,0.393,119.935,220834,4,9.54583080503908
Pixel Empire,Madeon,2105820,66B8m2u4nLLZcbjAPu29w9,0.511,0.692,2,-4.791,0,0.0312,0.00536,0.0701,0.208,0.0755,100.045,244800,4,8.60220588235294
Westbrook (with A$AP Ferg),JID,2091400,0GTzZhS8P50p922OEuoNLF,0.621,0.779,1,-4.354,1,0.406,0.0454,0.0,0.0479,0.432,90.722,237297,3,8.813427898372082
KLINK,Smino,2090009,6tdAmfHEd4cXEkNbCMgOP9,0.794,0.539,9,-7.928,0,0.391,0.0994,0.0,0.312,0.765,129.065,182209,4,11.47039388833702
Remember Me,UMI,2089988,630Ug0XtmhhFvAKo0PNuEI,0.84,0.344,5,-8.613,0,0.0374,0.456,3.36e-05,0.35,0.526,111.994,199227,4,10.490485727336154
Lean 4 Real (feat. Skepta),Playboi Carti,2085948,1JgkiUg9mSXSwcb5Gbi4Ur,0.754,0.777,7,-5.077,1,0.0665,0.0303,0.0,0.362,0.159,75.98,177027,4,11.783219508888475
Rapapapa (feat. RZA),Rich Brian,2059858,7sPoDigIbCWDS6AZmOhSRR,0.782,0.752,3,-4.622,0,0.214,0.501,0.0,0.114,0.504,126.936,247166,4,8.333905148766416
The Devil's in the Details,Mac Ayres,2028874,5q0zxo739jt8HAyo88vNkt,0.708,0.507,6,-8.876,0,0.0549,0.117,0.000547,0.101,0.543,76.757,177517,4,11.42918143051088
NEW MAGIC WAND,"Tyler, The Creator",2027196,0fv2KH6hac06J86hBUTcSf,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,195320,4,10.378844972353061
6 Summers,Anderson .Paak,2018103,0lG7iyNSstVOLV6faMIHdD,0.649,0.587,5,-10.5,0,0.316,0.0774,0.0,0.377,0.513,92.871,282987,4,7.131433599423295
Who Hurt You?,Daniel Caesar,2015030,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4,8.686822093083409
II. Worldstar,Childish Gambino,2009011,79ADanDPMKL9FdjJmdtNj5,0.705,0.598,5,-9.684,1,0.141,0.347,0.159,0.135,0.229,119.985,244652,4,8.211708876281412
Lose It (feat. Vic Mensa),Flume,2002555,4O4isJJBeAlmiP27sCDZ4e,0.605,0.853,9,-2.765,0,0.321,0.0876,0.0,0.214,0.61,130.027,225853,4,8.866630064688094
Broke As Fuck,YBN Cordae,2000012,1faIb3PPSzEifCHUOJ691R,0.616,0.669,1,-5.791,1,0.32,0.0298,0.0,0.127,0.275,154.056,196112,4,10.198315248429468
Unemployed,Tierra Whack,1994660,70kjLeuW46xJ5pqzYRLHAf,0.875,0.375,2,-6.669,1,0.724,0.0366,2.17e-06,0.111,0.139,153.84,168661,4,11.82644476197817
Antidote,Travis Scott,1993045,1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,4,7.586974148530794
HyperParadise - Flume Remix,Hermitude,1975016,1LQiF6aZfnNgxerxWJRbxw,0.603,0.827,6,-7.372,1,0.0714,0.0453,0.619,0.0833,0.311,144.992,268307,4,7.361030461374471
"It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)",Beast Coast,1940176,4krhkcFf3OqxHSS1QUIsmc,0.809,0.597,10,-7.428,0,0.202,0.0429,4.5e-05,0.117,0.327,142.011,220960,4,8.780666183924692
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,1934252,0VXfZi7XhfJnuBvF6XiypU,0.496,0.693,5,-9.576,0,0.247,0.159,0.0261,0.142,0.597,129.929,210673,4,9.181299929274278
R.I.P. SCREW,Travis Scott,1926709,4SZepBIPDRwPaHIjAKwRDb,0.607,0.609,0,-5.978,0,0.291,0.389,1.6e-05,0.111,0.556,74.946,185610,4,10.380415925866064
Rainbow Six,JPEGMAFIA,1922818,4OHWib4PEw8XCfrAaDpVNo,0.367,0.739,4,-3.456,0,0.368,0.372,4.26e-05,0.364,0.217,161.378,282626,4,6.803400960987312
Off Deez (with J. Cole),JID,1910753,3JAeYOjyJodI4PRs44lx2l,0.836,0.579,9,-6.164,1,0.243,0.00207,0.0,0.11,0.431,85.486,213358,4,8.95561919403069
