,trackName,artistName,id
0,Wild Irish Roses,Smino,6efkcs2aUBMFKxl0cl2JWQ
0,IV. Sweatpants,Childish Gambino,00GOPLxW4PGQuUYdPJh8K1
0,Strangers,Mt. Joy,73WyCOipkJRtIH8klizJd5
0,Springsteen,Eric Church,05ZACkzW8YbRq3eFgIfSNB
0,Shoota (feat. Lil Uzi Vert),Playboi Carti,2BJSMvOGABRxokHKB0OI8i
0,Hold On Loosely,38 Special,6i9dZZQWNB06HKsQYKTiPF
0,Long Time - Intro,Playboi Carti,4IO2X2YoXoUMv0M2rwomLC
0,3500 (feat. Future & 2 Chainz),Travis Scott,1SGt65i9AnXYdDQt1AtDRH
0,STARGAZING,Travis Scott,7wBJfHzpfI3032CSD7CE2m
0,CYANIDE,Daniel Caesar,3uouaAVXpQR3X8RYkJyitQ
0,"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,1JkrD47SDpAbyvqKtolcea
0,Sad Machine,Porter Robinson,1JY6B9ILvmRla2IKKRZvnH
0,The Boys Are Back In Town,Thin Lizzy,43DeSV93pJPT4lCZaWZ6b1
0,IF YOU PRAY RIGHT,BROCKHAMPTON,56IGGA6VwAbIni6KoN7VC5
0,Ecdysis,Flume,1EFPehJv13my9zvLFzGE8Z
0,Rush Over Me,Seven Lions,6BDLcvvtyJD2vnXRDi1IjQ
0,Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq
0,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",4bEcoz1OcfMgUbp2ft8ieQ
0,Get to You Again,Mac Ayres,5pNiAcguRrBdYf5V0QXdir
0,Little Prince (feat. NIKI),Rich Brian,3jKJnHixssQxdCShjpirKQ
0,Whip A Tesla,Yung Gravy,6nsyYPCDUSacgXci9mvWln
0,Something to Feel,Mac Ayres,1IRELSd0k5ycjtvPUlUEXI
0,Slow Down Turbo,Rich Brian,5cdmj1cvGZovYsd8nSjtsF
0,Japanese Denim,Daniel Caesar,1boXOL0ua7N2iCOUVI1p9F
0,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",5WNYg3usc6H8N3MBEp4zVk
0,Sleepless Nights,ayokay,4PUWpNtDejQwwa80LjvxXl
0,Unravel Me,Sabrina Claudio,5TVlcZRCVoJVi9OaDvGxEB
0,VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],Denzel Curry,4d8BSdhx6WT5GtTOWpv4rh
0,Tity and Dolla (feat. Hugh Augustine & Jay Rock),Isaiah Rashad,2NoKRHt8LVpnQMVl3TPwvu
0,Cokewhite (feat. Pusha T),GoldLink,1jCzgZFEl8RCUxDRvAGWUF
0,Divinity,Porter Robinson,18cCBvygH6yEFDY0cYN3wT
0,Best Part (feat. H.E.R.),Daniel Caesar,1RMJOxR6GRPsBHL8qeC2ux
0,Broken Clocks,SZA,2fXwCWkh6YG5zU1IyvQrbs
0,FRONTAL LOBE MUZIK,Daniel Caesar,0b6l1obmzq1YrqiKBVLtIo
0,Violent Pornography,System Of A Down,249Z7XT6mf8B2zuI0RaeS0
0,OMG (with Carly Rae Jepsen),Gryffin,2j9YmQRxtjuVwb4XN95oT8
0,Why You Always Hatin?,YG,39hnH8WdPmNT3Q3yzwC9Rg
0,Promises (with Sam Smith),Calvin Harris,5N5k9nd479b1xpDZ4usjrg
0,Superlove (feat. Oh Wonder),Whethan,0lchLc0vSyRRqKSPIkFtJI
0,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h
0,As She Awakens,Leerseite,1tZxzyEBPmsMTOpc6t005r
0,Stone Cold,Demi Lovato,56twMOlq9DJc3EgpVUVIrW
0,Crashing (feat. Bahari),ILLENIUM,17Efhyf4A96n0EFXKeB7Ya
0,Death by Dishonor,Ghostemane,5VphpldmtVyZH6S8RpHWLT
0,Innocence (feat. Aquilo),Madeon,4B59CsEpwMFAOQXu7snoJF
0,I Want It That Way,Backstreet Boys,6e40mgJiCid5HRAGrbpGA6
0,Is It Cold In The Water? - Flume & Eprom Remix,SOPHIE,5z4TlJ5NN7OQfEBq0InOvM
0,Pure Water (with Migos),Mustard,3j84U36KvLeXNDPv4t5pI8
0,through the late night,Travis Scott,1Ci4wASMY4xtKVMeHA6Sd5
0,SWITCH IT UP | ZWITCH 1T UP,Denzel Curry,7oopoWQa0jicMSf9SFtxMK
0,Calvin Cambridge,SOB X RBE,4HK9Ive4wK7426QXxQZS6L
0,Self Love (with Ari Lennox & Bas feat. Baby Rose),Dreamville,7dnSXaCjLdFiWZa8s5wP1n
0,"thank u, next",Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ
0,Clarity,Zedd,60wwxj6Dd9NJlirf84wr2c
0,We Find Love,Daniel Caesar,1TPLsNVlofwX1txcE9gZZF
0,How To Build A Relationship,Flume,1Ttu4TYbFIXYDFzOgfVedO
0,Don't Stop Me Now - 2011 Mix,Queen,7hQJA50XrCWABAu5v6QZ4i
0,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,4nw0S8MtvcLSpXCS9M8ciL
0,Plz Don't Go (feat. Jhené Aiko),Cashmere Cat,5bHb0PhaG1d4V7EnSHqB6n
0,Headlow (feat. Norelle),Anderson .Paak,0L38hbPRV0C4x6CH7WZe1W
0,Easy - Remix,DaniLeigh,4CMrdHWqic0usIZfTrKoI3
0,Boca Raton (with A$AP Ferg),Bas,72ic9IhRix05fIkRzGGMXD
0,The Sailor,Rich Brian,4dV4G96hqT5qCU9v7JBCk2
0,Pixel Empire,Madeon,66B8m2u4nLLZcbjAPu29w9
0,Westbrook (with A$AP Ferg),JID,0GTzZhS8P50p922OEuoNLF
0,KLINK,Smino,6tdAmfHEd4cXEkNbCMgOP9
0,Remember Me,UMI,630Ug0XtmhhFvAKo0PNuEI
0,Lean 4 Real (feat. Skepta),Playboi Carti,1JgkiUg9mSXSwcb5Gbi4Ur
0,Technicolor,Kudasaibeats,3UVVDIkcEJSqpUcTIpC8b4
0,I Hope You’re Happy Now,Carly Pearce,0Al3wN3keprGTSgG8NBwjr
