trackName,artistName,msPlayed
Technicolor,Madeon,2076738
Happy Now,Zedd,2063110
No Flex,Tiny Meat Gang,2062823
Rapapapa (feat. RZA),Rich Brian,2059858
SWEET,BROCKHAMPTON,2051525
Helix,Flume,2049061
The Devil's in the Details,Mac Ayres,2028874
NEW MAGIC WAND,"Tyler, The Creator",2027196
Roses,Mac Ayres,2024580
6 Summers,Anderson .Paak,2018103
Who Hurt You?,Daniel Caesar,2015030
II. Worldstar,Childish Gambino,2009011
Jewel,Flume,2005914
Lose It (feat. Vic Mensa),Flume,2002555
Broke As Fuck,YBN Cordae,2000012
Unemployed,Tierra Whack,1994660
Antidote,Travis Scott,1993045
Maniac,GoldLink,1983528
HyperParadise - Flume Remix,Hermitude,1975016
LOVE AGAIN,Daniel Caesar,1945724
"It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)",Beast Coast,1940176
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,1934252
R.I.P. SCREW,Travis Scott,1926709
Rainbow Six,JPEGMAFIA,1922818
Off Deez (with J. Cole),JID,1910753
Provider,Frank Ocean,1889518
10 Gallons,Zac Flewids,1874473
1539 N. Calvert,JPEGMAFIA,1864903
Black Moses (feat. JPEGMAFIA),Channel Tres,1864875
Meditate (feat. J.I.D.),EARTHGANG,1863409
I BEEN BORN AGAIN,BROCKHAMPTON,1847982
Bartender,T-Pain,1847259
Girl,The Internet,1822590
ALOHA,Charlie Heat,1804746
Sandstorm (feat. JID),Mereba,1799829
This Life,Denzel Curry,1798192
QUEER,BROCKHAMPTON,1794543
Jailbreak the Tesla (Feat. Aminé),Injury Reserve,1792082
Never Catch Me,Travis Scott,1791980
Nights,Frank Ocean,1782557
Love Hurts (feat. Travis Scott),Playboi Carti,1773655
Begin (feat. Wales),Shallou,1760875
RUNNING OUT OF TIME,"Tyler, The Creator",1758646
While We're Young,Jhene Aiko,1750974
Cheers (feat. Q-Tip),Anderson .Paak,1713878
Where U From,Huncho Jack,1707421
a lot,21 Savage,1706029
Angles (feat. Noname & Xavier Omär),Mick Jenkins,1702629
Hungry Hippo,Tierra Whack,1692154
Love Yourz,J. Cole,1689695
Beautiful Creatures (feat. MAX),ILLENIUM,1688814
Change,J. Cole,1686495
Where This Flower Blooms,"Tyler, The Creator",1681976
Infinite Stripes (feat. Ty Dolla $ign),Cashmere Cat,1678069
Purity,A$AP Rocky,1676075
SUGAR,BROCKHAMPTON,1671526
ZUU,Denzel Curry,1668185
Foreword,"Tyler, The Creator",1665567
Freesol,Seven Lions,1664953
Vignette,Shallou,1651648
Cinderella (feat. Ty Dolla $ign),Mac Miller,1649778
Tyrant (feat. Jorja Smith),Kali Uchis,1645945
Lie,Shallou,1642987
Come Home,BAYNK,1642597
Slow Down,Mac Ayres,1642165
it's not u it's me,Bea Miller,1640487
Twist My Fingaz,YG,1624839
no tears left to cry,Ariana Grande,1620166
the ends,Travis Scott,1618461
Impossible,Travis Scott,1613526
BOY BYE,BROCKHAMPTON,1602906
Off Da Zoinkys,JID,1599161
Kids,Rich Brian,1573143
Pale Blue Dot,Big Wild,1562966
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville,1561594
What's the Move (feat. Lil Uzi Vert),Young Thug,1550176
Radar (feat. HONNE),Whethan,1536053
Hatin,Rico Nasty,1530100
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,1526507
4r Da Squaw,Isaiah Rashad,1509420
SPEEDBOAT,Denzel Curry,1504144
Knotty Head,Denzel Curry,1504126
First Time (feat. Dylan Matthew),Seven Lions,1484630
Shabba (feat. A$AP Rocky),A$AP Ferg,1472275
Dead To Me,Kali Uchis,1471671
ATM,J. Cole,1470390
Cake,Trey Songz,1466427
K,Jaden,1460488
White Ferrari,Frank Ocean,1459462
