trackName,artistName,explicit,popularity,id
IV. Sweatpants,Childish Gambino,1,71,00GOPLxW4PGQuUYdPJh8K1
Strangers,Seven Lions,0,57,2U0pVx4m1Kdm1Gsjjm6iq8
Spring,Flume,0,49,7CGeuhEwxg4edNO5eLLCxm
Shoota (feat. Lil Uzi Vert),Playboi Carti,1,76,2BJSMvOGABRxokHKB0OI8i
Loose,Daniel Caesar,0,59,59acp1OhcvxwVBwQJBYKuX
Long Time - Intro,Playboi Carti,1,71,4IO2X2YoXoUMv0M2rwomLC
3500 (feat. Future & 2 Chainz),Travis Scott,1,67,1SGt65i9AnXYdDQt1AtDRH
STARGAZING,Travis Scott,1,78,7wBJfHzpfI3032CSD7CE2m
CYANIDE,Daniel Caesar,1,71,3uouaAVXpQR3X8RYkJyitQ
"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,1,66,1JkrD47SDpAbyvqKtolcea
Sad Machine,Porter Robinson,0,61,1JY6B9ILvmRla2IKKRZvnH
The Boys Are Back In Town,Yung Gravy,1,67,4Mqfhqtb5WmondLWYsCCrz
IF YOU PRAY RIGHT,BROCKHAMPTON,1,63,56IGGA6VwAbIni6KoN7VC5
Ecdysis,Flume,0,56,1EFPehJv13my9zvLFzGE8Z
Rush Over Me,Seven Lions,0,61,6BDLcvvtyJD2vnXRDi1IjQ
Anti,SOB X RBE,1,60,3BVC9lRwjgKrWwDxgFAKA8
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",1,71,4bEcoz1OcfMgUbp2ft8ieQ
Get to You Again,Mac Ayres,0,58,5pNiAcguRrBdYf5V0QXdir
Little Prince (feat. NIKI),Rich Brian,1,55,3jKJnHixssQxdCShjpirKQ
Whip A Tesla,Yung Gravy,1,73,6nsyYPCDUSacgXci9mvWln
Something to Feel,Mac Ayres,0,54,1IRELSd0k5ycjtvPUlUEXI
Slow Down Turbo,Rich Brian,1,54,5cdmj1cvGZovYsd8nSjtsF
Japanese Denim,Daniel Caesar,1,74,1boXOL0ua7N2iCOUVI1p9F
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",1,73,5WNYg3usc6H8N3MBEp4zVk
Sleepless,Flume,0,56,0XzyXP0E9jsoOwu5Rd7hTV
Unravel Me,Sabrina Claudio,0,61,5TVlcZRCVoJVi9OaDvGxEB
VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],Denzel Curry,1,59,4d8BSdhx6WT5GtTOWpv4rh
Tity and Dolla (feat. Hugh Augustine & Jay Rock),Isaiah Rashad,1,56,2NoKRHt8LVpnQMVl3TPwvu
Cokewhite (feat. Pusha T),GoldLink,1,51,1jCzgZFEl8RCUxDRvAGWUF
Divinity,Porter Robinson,0,58,18cCBvygH6yEFDY0cYN3wT
Best Part (feat. H.E.R.),Daniel Caesar,0,78,1RMJOxR6GRPsBHL8qeC2ux
Broken Clocks,SZA,1,71,2fXwCWkh6YG5zU1IyvQrbs
FRONTAL LOBE MUZIK,Daniel Caesar,1,59,0b6l1obmzq1YrqiKBVLtIo
Pornography,Travis Scott,1,59,2QeQNF182V61Im0QpjdVta
OMG (with Carly Rae Jepsen),Gryffin,0,63,2j9YmQRxtjuVwb4XN95oT8
Why You Always Hatin?,YG,1,61,39hnH8WdPmNT3Q3yzwC9Rg
